ID,案件名,職種,技術スキル,金額,勤務地,案件概要,開発環境,募集条件
T260129-0228,損保会社向けテスト打鍵（自動車代理店オンラインシステム）,テスター,,～40万円,高田馬場 / リモート可（週1〜）,総合テスト打鍵、障害管理表の起票、その他テスト関連の作業。年齢は20歳代までの若手を希望（新卒も検討可）。,,必須スキル：コミュニケーション能力（報連相）。尚可スキル：自動車保険の知識、オンラインでのテスト経験、結合テストのケース作成経験。国籍：外国籍不可。
T260129-0230,Flutterエンジニア,アプリエンジニア,Flutter,～90万円,麹町駅 / 常駐（Plus10）,トレーディングカードのECプラットフォームを運営する企業にてモバイルエンジニアとして設計/開発/品質改善をお任せします。 コーディングの工程を原則廃止しており、AI を活用した開発を前提としておりスピード感のある運営を実現しております。,AIを活用した開発、Claude Code、CursorといったAI開発支援ツール,"＜必須＞
・Flutter を利用した開発・運用経験3年以上
・Claude Code、Cursor といったAI 開発支援ツールを利用した開発経験
＜尚可＞
・パフォーマンスを改善した経験
・コードレビュー（レビュアー／レビュー対応）の実務経験
・Claude Code、Cursor といったAI 開発支援ツールを用いた開発に強い興味がある
国籍：日本人のみ
年齢：45歳まで"
T260129-0231,契約照会システムの開発,システムエンジニア(SE),,～90万円（スキル見合い）,小川町 / 常駐（Plus10）,損保会社様の合併に伴うシステム統合案件において 総合テスト工程で使用するSKYATTツールの修正と実行を担当頂きます。,,"・Web業務アプリケーション 設計・開発経験
・SKYATTツールに関する経験・知識"
T260129-0232,SaaS企業におけるAIプロダクトマーケティング案件,デジタルマーケター,Salesforce,65万円～100万円程（スキル見合い）,西新宿 / リモート可（週1〜）,"AIエージェントプロダクトのPMF達成に向けたマーケティング活動を担っていただきます。
※以下業務を想定

■デジタルマーケティング
・リスティング広告運用（Google/Yahoo等）とLPO施策
・CPA/ROI最適化とA/Bテストによる改善
・広告効果測定と改善サイクルの確立

■コンテンツマーケティング
・オウンドメディア運用とSEOコンテンツ制作
・ウェビナー・ホワイトペーパー等のリード獲得施策
・MAツールを活用したリードナーチャリング

■営業連携・商談創出
・商談創出計画の立案とターゲットリスト作成
・セールスメール・フォーム営業の企画実行
・インサイドセールスとの連携強化

■PMF推進
・顧客インタビューとフィードバック分析
・競合分析と差別化戦略の立案 
・プロダクトチームへの市場インサイト共有
※上記に付随し、マーケティング施策の効果測定・レポーティング／社内関係者への進捗共有も担っていただきます。",,"事業会社、広告代理店、コンサルティングファームでのセールス or HR領域（※）にて、以下いずれかのご経験

・広告運用（リスティング/ディスプレイ/SNS広告等）
・SEO/オウンドメディア運用
・コンテンツマーケティング（オウンドメディア記事制作、ホワイトペーパー制作等）
・MA（マーケティングオートメーション）を用いたナーチャリング
・イベントマーケティング（セミナー/ウェビナー企画・運営、展示会出展等）

※セールス：セールステックや営業コンサルティング事業など
※HR：HRテックや人材紹介サービス、採用支援ツールなど

【尚可スキル】
・BtoB SaaS業界 または IT・Webサービス業界でのマーケティング経験
・法人営業経験
・CRM/SFA（Salesforce等）を用いたデータ可視化・レポーティング経験
・生成AIに関する知識・活用経験
・スタートアップ企業への参画経験
・PMF前のプロダクトマーケティング経験"
T260129-0233,ヘルプデスク案件,ヘルプデスク,,37万円,泉岳寺 / 常駐（Plus10）,ネットバンクのシステムに対して銀行員との要件調整、打ち合わせ対応、各種対応,,Excel・Word（MOSベーシック程度）、コミュニケーション力、ドキュメント作成経験、タスク管理能力、マルチタスク。開発経験は問わないがIT経験必須（業務仕様書やシーケンス図を読めるまたは理解できる方）。金融知識がある方歓迎。精算: 140H-180H。面談: 2回。外国籍不可。
T260129-0235,kintone保守開発,システムエンジニア(SE),"JavaScript, PHP, kintone",42万円～55万円（スキル見合い）,市ヶ谷or神谷町 / 常駐（Plus10）,kintone（ローコード）を活用した顧客システムの保守開発 要件確認、設計、製造、テストまで一貫して対応,,JavaScript開発経験（1年以上）、kintone開発実務経験、PHP開発経験
T260129-0236,Nutanixおよびクラウド（AWS／Azure）仮想サーバの運用・管理業務,インフラエンジニア,"AWS, Microsoft Azure",,,Nutanixおよびクラウド（AWS／Azure）仮想サーバの運用・管理業務,"Nutanix, AWS, Azure",
T260129-0239,損保システム統合対応,システムエンジニア(SE),"Java, JavaScript, Vue.js, Shell",～80万前後,淡路町／小川町／新御茶ノ水 / 常駐（Plus10）,営業ワークグループシステム（見積作成、部支店成績管理など）の統合対応,,Javaの設計・開発経験、JavaScriptの設計・開発経験、Vue.jsの設計・開発経験、Shellの設計・開発経験。50代半ばまでの日本人の方。
T260124-1598,生成AIを利用した複数システムの機能改善PJ案件,AIエンジニア,"Python, React, AWS, TypeScript, SQL, Terraform",90万まで（スキル見合い）,フルリモート,"AIを活用したプロジェクト管理・議事録管理システムの開発、保守、機能拡張
・FastAPIベースのバックエンドAPI開発
・React、TypeScriptによるフロントエンド開発
・Chrome拡張機能の開発、改修
・OpenAI APIを活用したAI機能の実装
・PostgreSQLデータベース設計、最適化
・AWS Lambda関数の開発、運用
・Slack連携機能の実装、改善
・日本語自然言語処理機能の開発","FastAPI, React, TypeScript, OpenAI API, PostgreSQL, AWS Lambda, Slack連携, Docker, AWS EKS, AWS ECS","必須スキル：
・Python開発経験（ 3年以上、FastAPIまたは類似フレームワークの実務経験）
・React、TypeScript開発経験 2年以上
・PostgreSQLを使用したデータベース設計、開発経験
・RESTful API設計・実装経験
・Gitを使用したチーム開発経験
・terraform 及びAWS でのインフラ構築経験
・Docker環境での開発経験
尚可スキル：
・コンテナサービス（AWS EKS 、AWS ECS、 Docker 等）の経験
・AWS Lambda等のサーバーレス開発経験
・マイクロサービスアーキテクチャの設計、開発経験
・Stripeなどを利用した決済APIの開発、利用経験
・Sentryを使用したエラー監視、改善経験
・Viteを使用したフロントエンド開発経験
・普段からChatGPT等でプロンプトエンジニアリングに慣れている方
・Devin、ClaudeCode等を使ったViveCodingに慣れている方"
T260129-0245,防災に掲載されているサービスの開発,バックエンドエンジニア,"PHP, Laravel",,,,,
T260129-0245,BtoC向けサービス企画部門における、開発支援,,,30万円,高輪ゲートウェイ / リモート可（週1〜）,BtoC向けサービスを展開している部門において、資料作成と中心にした業務支援。企画・開発関連の資料作成（Excel／PowerPoint 等）、関係部署との調整・コミュニケーション、企画部門の業務サポート全般。,,MS-Office使用経験（特にExcel・PowerPoint）、円滑なコミュニケーション力。外国籍不可。
T260129-0255,製造業向けデータ移行案件,プログラマー(PG),SQL,スキル見合い ※～55万,九段下 / リモート可（週1〜）,データ移行業務。期間は2月～中長期予定、3月～中長期予定、4月～中長期予定。定時は9時00分～18時00分。精算は150h～190h。面談は1回（WEB）予定。人数は2月～1名、3月～2名、4月～1名。,,必須：SQLの基本的な知識、データベースの基本的な知識、開発経験3年以上。尚可：データ移行ツール使用経験（Informatica ETLツール(IICS、PowerCenter)、DataSpider）。外国籍不可。
T260129-0260,サービス業向け社内SE / ユーザサイドPMO（システム企画・開発推進）,PMO,,スキル見合い（Max:70万）,北山田 / 常駐（Plus10）,新設されるシステム企画・開発部門にて、店舗関連システムの刷新・新規導入プロジェクトのPMO業務を担当いただきます。開発実務はベンダーへ委託するため、要件定義などの上流工程と、ベンダーコントロールが主務となります。,,"①システムの開発プロジェクト経験（PM/PLまたはPMO経験 3年以上）
②ベンダーコントロール（折衝、進捗管理）の経験
③要件定義など上流工程の経験
④エンジニア用語を使わず、現場スタッフと円滑にコミュニケーションが取れる方
⑤受動的な管理ではなく、課題に対して能動的に解決策を提案できる方
①店舗系ビジネス（小売・飲食・サービス業）でのシステム導入経験
②会員アプリ、POS、予約システムなどの知見
③ITコンサルティングファームでの実務経験
④オープン系システムの開発プロジェクト経験（PM/PLまたはPMO経験 3年以上）
外国籍は不可
土日どちらかに交代で出勤があります。（平日代休を取得）
年齢：49歳まで"
T260129-0261,AI領域におけるプロダクトマネージャー（HR）募集案件,プロダクトマネージャー(PdM),,70万円程 ※スキル見合い,西新宿 / 常駐（Plus10）,"急成長するAIプロダクトを成功に導くため、Senior Product Manager のアシスタントとして以下の業務を担っていただきます。

・プロダクト戦略
 - ビジョンや事業戦略に基づいたプロダクト戦略の策定
 - HR または セールス領域における市場調査や競合分析を通じた方向性の決定
 - KPIの設定と追跡、データに基づく意思決定の推進

・プロダクト開発
 - 開発チームと連携し、プロダクトの要件定義や仕様策定をリード
 - リリース計画の策定および実行
 - 最新のAI技術動向の把握と自社プロダクトへの応用検討

・ステークホルダーとの連携
 - 営業やカスタマーサクセスチームとの連携を通じた顧客ニーズの把握とプロダクト改善
 - 顧客との直接的なコミュニケーションを通じたフィードバックの収集
 - 多国籍チームとの効果的なコミュニケーションの構築",,"◆必須
・プロダクトマネジメント または プロダクト企画・推進など関連業務経験
・高いコミュニケーション力、問題解決力
・AIやSaaSプロダクトに関する経験 もしくは 興味関心

◆尚可
・何らかのプログラミング言語での実装経験
・市場調査やデータ分析の経験
・スタートアップ企業での就業経験 または 強い関心
・英語力（読み書き、日常会話レベル）"
T260129-0262,損保会社向けテスト打鍵（自動車かんたんモード）,QAエンジニア,,SE～60万,高田馬場 / リモート可（週1〜）,総合テスト打鍵、障害管理表の起票、その他テスト関連の作業,,必須スキル：オンラインでのテスト経験（SEに限り）、コミュニケーション能力（報連相）。尚可スキル：自動車保険の知識、結合テストのケース作成経験、社員支援業務経験。年齢は30歳代までの比較的若手で意欲のあるセット提案を希望。国籍：外国籍不可。
T260129-0273,金融システムのRPA開発・保守作業,システムエンジニア(SE),"UiPath, VBA",50万円目安,東村山 / 常駐（Plus10）,UiPath、エクセルVBAにて構築された既存RPAの保守作業 問い合わせ対応(原因調査、チューニング、端末設定等)や 保守依頼に伴うRPAの作成・改修対応を実施します ユーザ部門と直接やり取り(メール、電話、対面打ち合わせ等)を行い 要件の確認、ドキュメント修正(業務フロー、設計書等)、 及び、UiPath、エクセルVBAのRPA修正・テスト～導入、チューニング 等の作業を一貫して実施します。,UiPath、エクセルVBA,・UiPath(Orchestratorを含む)を利用した開発経験 ・対面形式でのレビュー(設計、コーディング、テストケース等)経験あり 外国籍不可
T260129-0275,【証券会社向け】フロントエンド開発エンジニア募集,フロントエンドエンジニア,"Javascript, Java, SpringBoot",～70万円程度※スキル見合い,六本木一丁目/神谷町駅 / 常駐（Plus10）,証券会社向けシステム開発におけるフロント開発案件。既存システムの保守、不具合調査、エンハンス、更改、マイグレーションなどの設計・開発を担当いただきます。将来的にはバックエンド（Java/SpringBoot）も触る可能性あり。,,Javascriptでの実務開発経験4年以上 ※フロント開発において、状態管理やレスポンシブデザインを意識した開発をしていれば経験年数は4年以下でも可能 Javaでの実務開発経験1年程度 基本設計以降の工程経験 経験した期間よりコミュニケーション面重視 外国籍：不可 年齢：39歳まで
T260129-0278,テストエンジニア/データ転送システム開発のテスト設計書作成・テスト実行,QAエンジニア,"PL/SQL, Linux, Shell",〜60万円（スキル見合い）,大崎駅 / リモート可（週1〜）,"単体テスト～リリース業務をご担当いただきます。基本設計書を理解した上でテスト仕様書の作成が必要になります。
・設計書作成
・テスト実行",データ連携：DataSpider,"《必須スキル》
・PL/SQL開発経験1年以上
・単体テスト設計書作成、結合テスト設計書作成、総合テスト設計書作成経験
・Linux OSにおけるShell経験

《尚可スキル》
・基本設計経験

期間：2月〜4月（延長予定あり）
募集：1名
定時：9:00～17:45（休憩1時間）
精算：140h～190h（上下割）
面談：Web1回（弊社同席）
商流：エンド→弊社
制限：
・貴社所属まで
・個人事業主可（弊社と直接契約必須、支援費相談可）
・50歳まで
・外国籍不可"
T260129-0280,基盤システム部・内製開発支援（クラウドエンジニア）,クラウドエンジニア,Terraform,~90万円程度 ※スキル見合い,与野 / 常駐（Plus10）,保険会社基盤システム部にて、内製開発に関わる運用保守・年次対応を中心としたクラウドエンジニア支援を担当。Azureサーバレスアーキテクチャを基盤としたシステム開発および運用に携わる。,"・Azure（サーバレスアーキテクチャ）
・IaC：Terraform（CloudFormation経験可）
・Git（業務利用）","・要件定義経験（顧客折衝含む）
・インフラ技術全般の知識（クラウド経験は不問）
・CloudFormation／Terraform など IaC での構築経験
・Git の業務利用経験
・ドキュメント作成経験が豊富な方
・Azure DevOps の使用経験
・Azure インフラ構築経験
・Azure AI ソリューションを用いた構築経験
・CI/CD の構築経験
・サーバレスアーキテクチャ案件経験"
T260129-0292,AUTOSAR AP Applicationおよび ARXML開発業務,組込・制御エンジニア,"C++, Linux, Python, UML",80万円,中野坂上 / リモート可（週1〜）,AUTOSAR AP(Adaptive) 向け Application 開発 および ARXML開発支援 Application開発: AUTOMOTIVE SPICE の SWE1-6 に準じた開発、評価 ARXML開発支援: ARXML のレビュー、ツール開発,"Linux, Git, Docker, CANツール","・C++の読み書きができる（C++の開発経験　１年以上） ・Linux（POSIX OS）の利用経験 3ヵ月以上 ・UML（設計資料） が書ける・読める ・Cmakeの読み書きできる ・AUTOMOTIVE SPICE を用いた開発経験がある ・Gitを用いた構成管理の経験がある ・Dockerの利用経験がある ・スクリプト言語の利用経験がある（python, etc） ・単体テストの利用経験がある（C++ test, gtest, etc) ・CANツール（CANoe等）の利用経験がある"
T260129-0297,大手銀行AIアーキテクト,ITアーキテクト,,〜90万円,丸の内、大手町 / 常駐（Plus10）,大手銀行の複数システムのAI化を担当いただきます。それぞれに見合ったポジションをご紹介致しますので下記のキーワードで募集いたします。,,必須：・AI関連の開発経験5年以上 ・上記キーワードのいずれかにマッチする方 ・上流から下流まで一人称で対応可能な方 尚可：・銀行関連の経験 ・DX化経験
T260129-0299,内視鏡SW アーキテクチャ設計・実装業務,組込・制御エンジニア,"C言語, C++",スキル見合い,八王子 / リモート可（週1〜）,内視鏡システムのソフトウェアアーキテクチャ設計・実装業務を担当いただきます。組込Linux環境にて、C/C++を用いたマイクロサービス・アーキテクチャでのサービス/API開発を行い、SRSを基に機能（サービス）開発、設計ドキュメント作成およびレビュー記録対応も含まれます。,組込Linux環境にて、C/C++を用いたマイクロサービス・アーキテクチャ,"C/C++言語を用いた組込み開発経験（3年以上）, 医療機器、車載系など機能安全規格に準拠した開発経験, 出社による実機検証が発生するため、出社対応可能な方, 状況に応じた報連相を適切なタイミングで実施できるコミュニケーション能力, 自身の成果物に責任を持って取り組める方, 外国籍：不可"
T260129-0301,システム開発案件,QAエンジニア,,スキル見合い,半蔵門 / リモート可（週1〜）,複数のプロジェクトの品質管理、テスト,,Web開発におけるQA経験2年以上、Web開発経験、勤怠、報連相が良好な方、40代まで、初日や稀にある出社対応（半蔵門）ができる方
T260129-0305,福祉事業会社向け レセプトシステム開発,システムエンジニア(SE),"PHP, Laravel, Symfony, SQL, AWS, Go言語, UML, Github",70万円／月まで,宝町駅 / リモート可（週1〜）,法改正内容の調査、設計、レセプト業務のサービス別機能実装、基盤のコア機能改善、レセプト基盤のAPIシナリオテスト実装、CI/CDの改善、各種ドキュメント整備 等,"PHP8.4, Laravel12, MySQL8(Amazon Aurora), PHPStan Level10, PHP-CS-Fixer, OpenAPIv3, Golang1.23, PhpStorm, Github(CI, Copilot, Project), Docker, Swagger, Gather, Slack, Meet, Gemini, NotebookLM, Draw.io",SEレベル、Laravel(もしくはSymfony)の開発経験 1年以上、PHPの開発経験 3年以上、Gitを利用した開発経験 1年以上、自動テストの実装経験、または テストケース（表）の作成経験、詳細設計書などのドキュメント作成経験、業務システム開発のご経験必須、複雑なドメインルールを解き明かし、設計へ落とし込める方、『何を作るか』だけでなく、『なぜ作るか』という本質的な問いから設計をスタートできる方、主体的・自律的に行動できる方、コミュニケーション能力、外国籍：可（日本語ネイティブレベル）
T260129-0306,iOS（Swift）エンジニア　募集！,アプリエンジニア,Swift,スキル見合い,フルリモート,テキスト通話アプリケーションサービスのフロントエンド（Swift）開発に携わって頂きます。現在のユーザー数は30万人前後のサービスです。オフショア開発＋フリーランスで体制を組んでおり、リモート環境で開発参画となります。PM１名配下で、フロント3～5名、バックエンド1～2名の体制。品質向上および開発スピードの加速を目的としての増員となります。リリースから数年が経過しており、既存の修正が多く、またその内容も複雑であるため、既存修正の経験が豊富な方の参画を希望します。TCAをアップデートしている関係からTCA経験者を募集致します。,,必須スキル：Swiftを用いた開発経験3年以上、SwiftUIを用いた開発経験、TCAフレームワークを用いた開発のご経験。尚可スキル：Combine（CombineExt）を用いた開発のご経験、その他ライブラリ(SwiftLint、R.swift、Kingfisher、Apollo、SwiftyUserDefaults、PanModal)使用のご経験。年齢：～30代まで。外国籍：可（日本語でコミュニケーションの取れる方）。
T260129-0312,カード会社入会受付システム再構築におけるPM支援,プロジェクトマネージャー,Java,75万円まで,護国寺 / 常駐（Plus10）,カード会社の入会受付システムを刷新する再構築プロジェクトにおいて、PM支援として現場をリードする業務です。設計・開発の知見を活かしながら、実質的なPMとして推進していく裁量があります。Javaでの開発経験があり、チームの取りまとめに自信のあるマネジメント志向な要員にぴったりです。,,中規模以上のJavaシステム開発経験者（リリースまで）、PM、サブPM経験者、取りまとめや積極的なコミュニケーション力
T260129-0317,AD統合対応　要件定義支援,インフラエンジニア,Active Directory,スキル見合い,神田 / リモート可（週1〜）,"新規Active Directory導入に伴う要件定義フェーズの支援業務。現行環境の整理から、新ADへの統合・移行、移行後の運用までを見据えたグランドデザインレベルの要件定義を想定。
【主な作業内容】
・各連携先システムに関する要件確認
・既存AD廃止に関する要件整理
・新ADへの移行方針・要件整理
・移行後の運用設計に関する要件確認
・要件定義書、関連ドキュメント作成
※要件定義完了後、構築・移行フェーズまで継続対応の可能性あり",,"・Active Directoryの設計・構築経験
・要件定義フェーズの対応経験
・顧客ヒアリング、要件整理、ドキュメント作成経験
・AD統合／移行プロジェクト経験
・グランドデザイン作成経験
・認証基盤（AD／Entra ID 等）の全体設計経験"
T260124-1614,建設会社向けアプリ開発支援作業,システムエンジニア(SE),"Java, SpringBoot, React, TypeScript, AWS, SQL, Linux",55万円〜75万円,五反田 / リモート可（週1〜）,詳細設計　～　リリースをお任せします。サブリーダー（管理規模：メンバー3～4名対象）1名 もしくはPG2名の募集です,フロント：React.JS、TypeScript、CSS バック　：Java（SpringBoot） クラウド：AWS インフラ：PosgreSQL、Linux,＜サブリーダースキル＞ ・Java（Spring環境）での開発経験がある方 ・React.js、TypeScriptを使用した開発経験がある方 ・詳細設計以降のご経験がある方 ・サブリーダー経験またはPGメンバーの取りまとめ経験がある方 ・所属会社での実績 ・Docker環境（尚可） ＜PGスキル＞ ・Java（Spring環境）での開発経験が2年以上ある方 ・React.js、TypeScriptを使用した開発経験がある方 ・詳細設計以降のご経験がある方 ・サブリーダー経験またはPGメンバーの取りまとめ経験がある方 ・所属会社での実績 ・Docker環境（尚可）
T260129-0323,信用情報機関向けDC移転に伴う基盤更改プロジェクト支援,インフラエンジニア,,～80万円（スキル見合い）,芝公園 / リモート可（週1〜）,"本案件は、信用情報機関向けのデータセンター移転に伴い、基盤の刷新および運用の最適化を実施するプロジェクトです。インフラの更改および移転に向けた計画策定、また移行後の運用設計業務を担当いただきます。作業は芝公園エリアでのオンサイトを基本とし、業務習熟後はハイブリッド勤務も相談可能です。複数ポジションの募集で、インフラ運用設計、またはDC移転計画に関する経験をお持ちの方を対象としています。資料作成や顧客報告などのコミュニケーションが発生するため、一定のドキュメント作成能力と顧客折衝スキルも求められます。
ポジション①：インフラ運用設計
　・システム更改後のインフラ運用設計
　・運用関連ドキュメントの作成
　・顧客向け報告資料の作成および説明
ポジション②：DC移転計画
　・DC移転に伴うシステム移行計画の策定
　・移行関連資料の作成
　・顧客向け報告・調整業務",,"ポジション①
　・インフラ運用設計経験
ポジション②
　・DC移転に関する計画策定または実施経験
尚可スキル：
　・ITIL資格保有者
　・大規模基盤の更改プロジェクト経験
　・顧客折衝・資料作成スキル"
T260129-0325,Azure構築に伴うアドバイザー募集,ITコンサルタント,Microsoft Azure,～130万円程度,大手町 / リモート可（週1〜）,メディア系会社において、Azure環境の構築を進めております。元請けプロパーがPMとしておりますが、商用化までタイトなスケジュールとなっており、今回クラウド知見が深く、アドバイザー役を担っていただける方を募集しております。ウォーターフォールの成果物作成をしながらアジャイル開発での構築体制でけん引いただきます。具体作業：・Azureのサイジング・AI駆動を見据えた構築設計,,クラウド知見が深く、アドバイザー役を担っていただける方
T260129-0329,企業向けセキュリティ保守支援,セキュリティエンジニア,"Linux, WindowsServer, UNIX, Cisco, AWS, Microsoft Azure, Google Cloud Platform(GCP)",～50万円,人形町 / 常駐（Plus10）,"企業様向けのセキュリティ保守チームにて、ログ収集・分析を中心とした運用保守業務をご担当いただきます。監視だけで終わらず、障害時の初動対応・原因分析・ユーザーへの技術的な説明まで行うポジションのため、「話せるインフラエンジニア」を求めています。
作業内容:
ログ収集システムを用いたセキュリティログの確認・分析
障害発生時のエラー対応、原因調査
ユーザーへの初動アドバイス・技術的説明
セキュリティログ分析結果をもとにした報告書作成
セキュリティ保守チーム内での運用対応
※お客様ごとに課題が異なるため、サーバー／NW／クラウドなどインフラ全般の知見を広げられる環境です。
この案件のポイント:
監視オペレーター止まりではなく、分析・説明まで経験できる
セキュリティ × インフラの実務経験を積める
将来的に構築チーム・提案チームへの異動も可能（数年単位）","ログ収集システム, サーバー, NW, クラウド","必須スキル:
サーバー運用＋保守の実務経験
ログ収集・ログ確認の実務経験
技術的な内容を口頭で説明できるコミュニケーション力
歓迎スキル:
セキュリティ関連業務の経験
障害対応・一次切り分けの経験
インフラ全般（SV／NW／クラウド）への基礎知識
条件:
人数：2名
年齢目安：30代まで
期間：即日～長期（開始時期相談可）
勤務時間：9:00～18:00
面談：2回（上位＋エンド）"
T260129-0330,広告運用BPOプラットフォーム構築（3ポジション募集）,ITコンサルタント,"AI, AWS, Azure, Google Cloud Platform(GCP)",応相談,都内 / リモート可（週1〜）,広告運用BPOプラットフォーム構築プロジェクトにおいて、PM、業務コンサルタント、ITコンサルタントの3ポジションを募集。PMは全体統括、論点設計、ステークホルダー調整を担当。業務コンサルタントは広告運用BPO業務のAs-Is/To-Be定義、業務標準化、KPI設計、システム要件への落とし込みを行う。ITコンサルタントはプラットフォーム構成検討、システム要件定義、業務要件と技術要件の橋渡しを担当する。,,"【ポジション1：管理者/PM】
■必須スキル
・BPOまたは業務改革（BPR）×システム導入の統合PM経験
・要件定義フェーズでの論点整理、スコープ定義、合意形成の実務経験
・複数ステークホルダー（事業／現場／IT）と調整し、要件等を取りまとめた経験
■尚可スキル
・広告／マーケティング領域の業務理解（媒体運用・レポーティング・改善PDCA）
・CX／コンタクトセンター／デジタルマーケBPOの経験
・内製領域と外注領域のスコープ整理、および体制設計の経験
・SIでの構想策定リード経験
・構想資料・ロードマップ作成経験
・SaaS活用前提の業務設計経験

【ポジション2：業務コンサル(業務系検討担当)】
■必須スキル
・業務フロー定義・マニュアル化・標準化の経験
・業務要件を言語化・構造化できる能力
・広告運用業務（代理店／インハウス／BPO）についての概要理解（媒体設定、日次運用、レポーティング、改善提案）
■尚可スキル
・業務KPI／SLA設計、品質管理の経験
・ツール（広告管理、BI、ワークフロー）導入時の業務側リード経験
・複数クライアント・複数媒体の同時運用経験
・BPO立ち上げ／移管／拡張フェーズの経験
・AI／自動化を活用した業務改善の経験

【ポジション3：ITコンサル(システム系検討担当)】
■必須スキル
・業務システムの要件定義・基本設計経験
・SaaS／API連携前提のアーキテクチャ理解
・データ連携・データモデル設計の基礎知識
・ソリューション構成検討経験（組み合わせる思考）
■尚可スキル
・マーケティング／広告系システムの知見
・BI／DWH／データ基盤設計の経験
・ワークフロー／チケット管理／運用管理系ツール導入経験
・クラウド（AWS / Azure / GCP）設計経験
・セキュリティ・権限管理・監査対応の知見"
T260129-0331,次期バックオフィスシステム構想策定・推進支援,ITコンサルタント,,～150万円程度,銀座 / リモート可（週1〜）,大手宿泊・レジャー企業のバックオフィス業務刷新に向けた構想策定支援 直近の支援フェーズ（As-Is把握～アセスメント）において、以下の実務を想定しています ・現状業務の棚卸しと可視化、既存ドキュメントの確認、および現場へのヒアリングを通じた現状の業務フロー・マニュアルの整理 （支払・契約・稟議・受領の4領域） ・「インフォマート」導入に向けた適合性評価（Fit&Gap分析）とリスクの客観的評価 ・ドキュメント作成・管理（WBS/課題管理表の更新）、中間・最終報告書等の作成支援,,【必須】 ・ITコンサルティングまたはシステム導入の上流工程経験 ∟ As-Is整理、課題抽出、To-Be構想策定 ・現場ヒアリング能力 ∟ 各部門の担当者から業務実態を丁寧に汲み取り、ドキュメントとして言語化できる能力 ・バックオフィス業務知識 ∟ 支払、契約管理、稟議、請求書受領といった領域の基本的な理解【尚可】 ・SaaSソリューションの導入・評価経験（特に「インフォマート」「楽楽シリーズ」等）
T260129-0333,AWS運用支援,クラウドエンジニア,"Linux, AWS",スキル見合い,虎ノ門 / リモート可（週1〜）,お客様クラウドシステムの運用保守や改善提案、運用状況レポーティングと報告、お客様クラウドシステムの導入支援（設計、構築）。AWSサービス特化の業務に従事することにより、クラウド環境の運用を通じて、従来のサーバ運用から一歩進み、自動化・可用性設計・コスト最適化をはじめ、クラウドネイティブな思考とスキルを身につけられます。,"LAMP環境, AWS環境",【必須】Linuxの基本設計/構築の経験、Apacheの経験。【尚可】LAMP環境の運用経験、トラブルや運用課題に対して切り分け調査により現状把握した上で問題点を考えられる、またはその役割のチームに従事していた方、AWS運用の経験、AWS環境または別のクラウド環境にて環境構築や運用の経験がある方。
T260129-0334,WMSのシステム更改の方針検討（AWSへのクラウドシフト）,ITアーキテクト,"AWS,Google Cloud Platform(GCP),JP1",スキル見合い,リモート可（週1〜）,昔で言う方式屋・今風に言うとシステムアーキテクトとかシステム方式設計コンサルタントとして、上流工程の中でも一番最初の所の検討を支援。システム方式／クラウドシフト（AWS、GCP）／DR方式／ＨＷ・ミドル・ＮＷ・アプリケーション構成／システム運用検討／システム移行　等,現行：VMware、Windows、JP1(主にAJS、IMとかの運用管理系)、ONE'sLOGI。更改後：AWS／GCP、JP1クラウド、vmware以外のハイパーバイザ（Hyper-Vなど）,必須：・システムアーキテクト、システム方式設計コンサルタントとしての経験 ∟ インフラ知識が深くなくても問題なし ・上記キーワードに挙げた項目の検討経験。尚可：・調査能力
T260129-0335,コールセンターシステム更改プロジェクト,インフラエンジニア,"AWS,Terraform,Python",スキル見合い,蒲田 / リモート可（週1〜）,"オンプレからクラウド移行に伴うシステム方式刷新 ※ インフラ部分は0から新規設計
方式設計、パラメータ設計、運用設計、IaCコード開発、運用プログラム開発
各フェーズにおけるテスト計画/実施","AWSサービス, Terraform, Ansible, ROSA/ECS, RDS, DB2, Python","【必須】
・AWSサービスの設計・構築経験がある（≠EC2、S3、VPCのみ等は除外）
・Terraformのコーディング経験がある
・Ansibleのコーディング経験がある
【尚可】
・terratestによるテスト自動化の経験がある
・ROSA/ECSを採用するのでコンテナオーケストレーションの構築、利用経験がある
・RDSの経験がある（データベースはDB2を採用する見込み）
・Pythonによるプログラムの実装経験がある
【募集】3名
【期間】4月 ～ 2027年12月（即日 or 2月 or 3月開始も受付中）
【年齢】50代まで
【外国籍】NG
【個人】OK
【制限】貴社プロパー迄
【働き方】入場後、1か月くらいリモート環境が整うまでは基本的に出社。そのあとは基本ハイブリッド勤務で、リモートがメイン。フル出社はほぼない"
T260129-0336,大手Sier 社内向けAWS基盤構築,クラウドエンジニア,AWS,スキル見合い,中央区日本橋兜町（茅場町徒歩 1 分・日本橋徒歩 3 分） / 常駐（Plus10）,上場会社の開示業務における負荷を軽減することを目的とした上場会社向けの新たな開示業務支援サービスの基盤/運用設計,AWS 上に構築,AWS の以下のサービスを構築/運用するスキルがあること ★ 構築、IaC の経験 ※ ここを最も重視 ・AWS 上でシステム構築/運用設計を実施した経験がある方 ・AWS 上で CI/CD を利用した経験があること ・CloudFront ・ALB/NLB ・ECS ・Aurora ・OpenSearch ・Bedrock ・Step Functions ・EventBridge ・CloudWatch 等々
